2012083;2012-03-30;116;
2012082;2012-03-29;325;
2012081;2012-03-28;922;
2012080;2012-03-27;482;
2012079;2012-03-26;457;
2012078;2012-03-25;122;
2012077;2012-03-24;388;
2012076;2012-03-23;606;
2012075;2012-03-22;537;
2012074;2012-03-21;841;
2012073;2012-03-20;69;
2012072;2012-03-19;795;
2012071;2012-03-18;759;
2012070;2012-03-17;757;
2012069;2012-03-16;693;
2012068;2012-03-15;856;
2012067;2012-03-14;193;
2012066;2012-03-13;648;
2012065;2012-03-12;775;
2012064;2012-03-11;478;
2012063;2012-03-10;128;
2012062;2012-03-09;23;
2012061;2012-03-08;763;
2012060;2012-03-07;492;
2012059;2012-03-06;269;
2012058;2012-03-05;96;
2012057;2012-03-04;608;
2012056;2012-03-03;607;
2012055;2012-03-02;712;
2012054;2012-03-01;103;
2012053;2012-02-29;663;
2012052;2012-02-28;355;
2012051;2012-02-27;302;
2012050;2012-02-26;35;
2012049;2012-02-25;808;
2012048;2012-02-24;875;
2012047;2012-02-23;642;
2012046;2012-02-22;493;
2012045;2012-02-21;26;
2012044;2012-02-20;723;
2012043;2012-02-19;525;
2012042;2012-02-18;1;
2012041;2012-02-17;664;
2012040;2012-02-16;470;
2012039;2012-02-15;757;
2012038;2012-02-14;32;
2012037;2012-02-13;978;
2012036;2012-02-12;287;
2012035;2012-02-11;369;
2012034;2012-02-10;465;
2012033;2012-02-09;865;
2012032;2012-02-08;421;
2012031;2012-02-07;195;
2012030;2012-02-06;982;
2012029;2012-02-05;100;
2012028;2012-02-04;731;
2012027;2012-02-03;263;
2012026;2012-02-02;746;
2012025;2012-02-01;755;
2012024;2012-01-31;997;
2012023;2012-01-30;633;
2012022;2012-01-29;425;
2012021;2012-01-21;967;
2012020;2012-01-20;446;
2012019;2012-01-19;45;
2012018;2012-01-18;30;
2012017;2012-01-17;538;
2012016;2012-01-16;749;
2012015;2012-01-15;180;
2012014;2012-01-14;637;
2012013;2012-01-13;317;
2012012;2012-01-12;224;
2012011;2012-01-11;315;
2012010;2012-01-10;594;
2012009;2012-01-09;166;
2012008;2012-01-08;497;
2012007;2012-01-07;880;
2012006;2012-01-06;882;
2012005;2012-01-05;135;
2012004;2012-01-04;960;
2012003;2012-01-03;750;
2012002;2012-01-02;209;
2012001;2012-01-01;309;
2013358;2013-12-31;968;
2013357;2013-12-30;320;
2013356;2013-12-29;164;
2013355;2013-12-28;293;
2013354;2013-12-27;24;
2013353;2013-12-26;185;
2013352;2013-12-25;176;
2013351;2013-12-24;726;
2013350;2013-12-23;322;
2013349;2013-12-22;524;
2013348;2013-12-21;574;
2013347;2013-12-20;554;
2013346;2013-12-19;19;
2013345;2013-12-18;72;
2013344;2013-12-17;149;
2013343;2013-12-16;776;
2013342;2013-12-15;899;
2013341;2013-12-14;980;
2013340;2013-12-13;805;
2013339;2013-12-12;867;
2013338;2013-12-11;517;
2013337;2013-12-10;30;
2013336;2013-12-09;423;
2013335;2013-12-08;8;
2013334;2013-12-07;680;
2013333;2013-12-06;789;
2013332;2013-12-05;423;
2013331;2013-12-04;224;
2013330;2013-12-03;4;
2013329;2013-12-02;529;
2013328;2013-12-01;957;
2013327;2013-11-30;405;
2013326;2013-11-29;233;
2013325;2013-11-28;863;
2013324;2013-11-27;167;
2013323;2013-11-26;114;
2013322;2013-11-25;648;
2013321;2013-11-24;987;
2013320;2013-11-23;573;
2013319;2013-11-22;460;
2013318;2013-11-21;244;
2013317;2013-11-20;197;
2013316;2013-11-19;88;
2013315;2013-11-18;899;
